DR_NO;Date Rptd;TIME OCC;AREA;AREA NAME;LOCATION;Vict Sex
211904005;12/31/2020 12:00:00 AM;1220;19;Mission    ;9000    CEDROS                       AV ;M
221908151;04/12/2022 12:00:00 AM;1;19;Mission    ;13400    RANGOON                      ST;F
231907172;03/21/2023 12:00:00 AM;1200;19;Mission    ;8500    COLUMBUS                     AV ;F
231915767;10/25/2023 12:00:00 AM;1;19;Mission    ;8700    TOBIAS                       AV ;F
231906599;03/03/2023 12:00:00 AM;1335;19;Mission    ;14500    WILLOWGREEN                  LN;M
231912127;07/26/2023 12:00:00 AM;1735;19;Mission    ;14600    NURMI                        ST;F
221917823;12/12/2022 12:00:00 AM;1550;19;Mission    ;15400    EL CAJON                     ST;M
221909318;05/09/2022 12:00:00 AM;1120;19;Mission    ;9900    LEMONA                       AV ;M
221917253;11/25/2022 12:00:00 AM;1200;19;Mission    ;8600    LANGDON                      AV ;
221905982;02/20/2022 12:00:00 AM;1500;19;Mission    ;CANTERBURY                              ;F
231905726;02/08/2023 12:00:00 AM;1;19;Mission    ;14700    BLYTHE                       ST;F
231905565;02/06/2023 12:00:00 AM;5;19;Mission    ;9400    KESTER                       AV ;F
221908420;04/15/2022 12:00:00 AM;5;19;Mission    ;8700    VAN NUYS                     BL ;F
231906446;02/28/2023 12:00:00 AM;1200;19;Mission    ;9000    WILLIS                       AV ;F
231906802;03/09/2023 12:00:00 AM;1100;19;Mission    ;13600    OTTOMAN                      ST;M
221913440;08/20/2022 12:00:00 AM;955;19;Mission    ;15200    COBALT                       ST;F
221912723;08/02/2022 12:00:00 AM;1100;19;Mission    ;8900    BURNET                       AV ;F
221907310;03/21/2022 12:00:00 AM;1510;19;Mission    ;8600    WILLIS                       AV ;F
221916942;11/15/2022 12:00:00 AM;5;19;Mission    ;14000    LAKESIDE                     ST;M
221916382;11/02/2022 12:00:00 AM;1200;19;Mission    ;15100    TAMARACK                     CT;F
221907738;04/01/2022 12:00:00 AM;1200;19;Mission    ;8500    MAMMOTH                      AV ;M
241904532;12/19/2023 12:00:00 AM;5;19;Mission    ;8100 N  SEPULVEDA                    PL ;F
221905893;02/15/2022 12:00:00 AM;1;19;Mission    ;9600    SALOMA                       AV ;F
231911608;07/14/2023 12:00:00 AM;600;19;Mission    ;8400    WILLIS                       AV ;F
221916140;10/25/2022 12:00:00 AM;1200;19;Mission    ;9200 N  SEPULVEDA                    BL ;F
221911806;07/10/2022 12:00:00 AM;1;19;Mission    ;13800    RAYEN                        ST;M
221907753;04/01/2022 12:00:00 AM;2300;19;Mission    ;14600    ROSCOE                       BL;F
221916426;11/02/2022 12:00:00 AM;1000;19;Mission    ;14600    PARTHENIA                    ST;M
221908403;04/18/2022 12:00:00 AM;2200;19;Mission    ;15200    SUNBURST                     ST;F
221915597;10/11/2022 12:00:00 AM;5;19;Mission    ;13100    BORDEN                       AV;F
221908685;04/25/2022 12:00:00 AM;1640;19;Mission    ;9000    TOBIAS                       AV ;M
221913658;08/24/2022 12:00:00 AM;1;19;Mission    ;13300    DRONFIELD                    AV;M
221912089;07/13/2022 12:00:00 AM;1100;19;Mission    ;UNKNOWN                                 ;F
221915337;10/05/2022 12:00:00 AM;600;19;Mission    ;12700    ENCINITAS                    AV;F
221917036;11/03/2022 12:00:00 AM;1415;19;Mission    ;9000    WILLIS                       AV ;M
231910853;06/24/2023 12:00:00 AM;1145;19;Mission    ;15200    NURMI                        ST;M
221916494;11/02/2022 12:00:00 AM;1225;19;Mission    ;14500    LANARK                       ST;M
221916131;10/26/2022 12:00:00 AM;2125;19;Mission    ;7900    WILLIS                       AV ;M
221917878;12/13/2022 12:00:00 AM;1200;19;Mission    ;13300    GRIDLEY                      ST;F
221918167;12/20/2022 12:00:00 AM;1900;19;Mission    ;14300    TUPPER                       ST;F
